378.692252106				12			[1, 28, 23, 20, 32, 20, 4, 28, 16, 29, 5, 13, 3, 16, 27]
377.539424075				14			[28, 3, 10, 16, 6, 11, 9, 0, 21, 17, 16, 33, 7, 32, 15]
377.539424184				13			[31, 14, 13, 15, 6, 30, 3, 0, 16, 21, 9, 12, 31, 9, 2]
378.692261621				12			[17, 3, 3, 24, 25, 23, 32, 33, 21, 27, 25, 33, 30, 8, 14]
377.974638515				13			[31, 28, 13, 29, 6, 11, 0, 1, 31, 24, 32, 33, 6, 27, 12]
378.692251868				14			[1, 23, 6, 24, 4, 11, 20, 24, 31, 29, 21, 13, 7, 14, 2]
378.692248087				11			[6, 21, 29, 24, 6, 23, 23, 1, 31, 12, 24, 13, 7, 8, 29]
378.692261621				12			[31, 16, 13, 32, 6, 23, 30, 14, 29, 21, 6, 13, 31, 12, 25]
378.692261773				11			[6, 28, 23, 31, 6, 11, 30, 14, 31, 29, 13, 13, 31, 12, 2]
378.692262177				9			[31, 6, 13, 31, 6, 11, 30, 14, 29, 29, 31, 13, 13, 12, 2]
378.692261621				12			[12, 30, 14, 24, 6, 29, 30, 11, 29, 29, 32, 13, 7, 25, 2]
378.692261773				11			[23, 23, 29, 24, 6, 13, 23, 14, 31, 8, 32, 25, 31, 8, 12]
378.692250415				11			[23, 23, 13, 24, 6, 2, 23, 14, 30, 6, 1, 31, 31, 8, 12]
378.692261773				11			[33, 23, 21, 24, 6, 29, 7, 23, 29, 29, 32, 13, 29, 12, 11]
378.692261773				11			[29, 6, 23, 24, 6, 29, 25, 14, 29, 33, 29, 13, 31, 8, 12]
378.692248411				11			[33, 32, 31, 21, 6, 29, 8, 29, 29, 29, 6, 13, 7, 1, 11]
378.6922425				9			[33, 23, 33, 30, 23, 29, 1, 25, 12, 21, 1, 13, 1, 29, 12]
378.692249093				8			[33, 23, 8, 24, 12, 24, 8, 29, 29, 29, 29, 32, 29, 1, 12]
378.692248411				11			[8, 32, 23, 24, 6, 29, 23, 6, 29, 29, 25, 13, 7, 1, 33]
378.69225082				9			[23, 23, 23, 33, 6, 6, 29, 6, 8, 12, 1, 6, 7, 13, 33]
